FIRST NAME,LAST NAME,SEASON,GENDER,SPORT,EVENT/POSITION/CLASS,OLYMPIC EXPERIENCE,HEIGHT,WEIGHT,DOB,HOMETOWN CITY,LAT,LONG,HOMETOWN STATE,STATE ABR
Allison,Schmitt,Summer,F,Swimming,4x200m Free,"2008-B; 2012-3G,S,B","6'1""",165,6/7/1990  ,Canton,40.8075,-81.3677,Mich.,MI
Leah,Smith,Summer,F,Swimming,"400m Free, 800m Free, 4x200m Free",none,"5'9""",149,4/19/95,Pittsburgh,40.4396,-79.9762,Pa.,PA
Olivia,Smoliga,Summer,F,Swimming,100m Back,none,"6'2""",165,10/12/94,Chicago,41.8373,-87.6862,Ill.,IL
Dana,Vollmer,Summer,F,Swimming,"100m Fly, 4x100m Free","2012-3G, 2004-G","6'1""",150,11/13/87,Danville,40.1423,-87.6114,Calif.,CA
Amanda,Weir,Summer,F,Swimming,4x100m Free,"2012-B, 2004-2S","6'2""",170,3/11/86,Lawrenceville,33.9523,-83.9931,Ga.,GA
Amanda,Weitzeil,Summer,F,Swimming,"50m Free, 100m Free, 4x100m Free",none,5'10,150,12/3/96,Saugus,#N/A,#N/A,Calif.,CA
Kelsi,Worrell,Summer,F,Swimming,100m Fly,none,"5'11""",165,7/15/94,Westampton,#N/A,#N/A,N.J.,NJ
Sean,Ryan,Summer,M,Swimming,10K Open Water,None,"6'3""",170,8/13/92,Chattanooga,35.0657,-85.2488,Tenn.,TN
Jordan,Wilimovsky,Summer,M,Swimming,"10K Open Water; 1,500m free",none,"5'9""",150,4/22/94,Malibu,34.0368,-118.7845,Calif.,CA
Haley,Anderson,Summer,F,Swimming,10K Open Water,2012-Silver,"5'10""",150,11/20/91,Granite Bay,38.7601,-121.1714,Calif.,CA
Anita,Alvarez,Summer,F,Synchro,Duet/Team,none,"5'7""",114,12/2/96,Buffalo,42.9016,-78.8487,N.Y.,NY
Mariya,Koroleva,Summer,F,Synchro,Duet/Team,2012,"5'5""",123,4/10/90,Concord,37.9722,-122.0016,Calif.,CA
Yijun,Feng,Summer,M,Table Tennis,"Singles, Team",none,"6'1""",157,2/12/97,Alpharetta,34.0704,-84.2739,Ga. ,GA
Kanak,Jha,Summer,M,Table Tennis,"Singles, Team",none,"5'5""",114,6/19/00,Milpitas,37.4339,-121.8921,Calif.,CA
Timothy,Wang,Summer,M,Table Tennis,Singles,2012,"5'9""",141,8/17/91,Houston,29.7863,-95.3889,Texas,TX
Jennifer,Wu,Summer,F,Table Tennis,"Singles, Team",none,"5'3""",112,1/14/90,Fort Lee,40.8509,-73.9712,N.J.,NJ
Lily,Zhang,Summer,F,Table Tennis,"Singles, Team",2012,"5'5""",130,6/16/96,Palo Alto,37.3913,-122.1468,Calif.,CA
Jiaqi,Zheng,Summer,F,Table Tennis,Team,none,"5'5""",94,1/13/88,Fremont,37.5265,-121.9852,Calif. ,CA
Stephen,Lambdin,Summer,M,Taekwondo,+80 kg.,None,"6'2""",240,3/9/88,Colleyville,32.8913,-97.1486,Texas,TX
Steven,Lopez,Summer,M,Taekwondo,80 kg.,2000-G; 2004-G; 2008-B; 2012,"6'3""",185,11/9/78,Sugar Land,29.5935,-95.6357,Texas,TX
Jackie,Galloway,Summer,F,Taekwondo,+67 kg.,None,"5'10""",175,12/27/95,Wylie,33.0362,-96.5161,Texas,TX
Paige,McPherson,Summer,F,Taekwondo,-67 kg.,2012-B,"5'8""",140,10/1/90,Sturgis,41.7995,-85.4182,S.D. ,SD
Brian,Baker,Summer,M,Tennis,Singles,none,"6'3""",170,4/30/85,Nashville,36.1715,-86.7843,Tenn.,TN
Steve ,Johnson,Summer,M,Tennis,"Singles, Doubles",none,"6'2""",190,12/24/89,Los Angeles,34.1139,-118.4068,Calif.,CA
Denis,Kudla,Summer,M,Tennis,Singles,none,"5'11""",175,8/17/92,Arlington,32.6998,-97.125,Va.,VA
Jack,Sock,Summer,M,Tennis,"Singles, Doubles",none,"6'3""",185,9/24/92,Lincoln,40.809,-96.6788,Neb.,NE
Madison,Keys,Summer,F,Tennis,Singles,none,"5'10""",150,2/17/95,Lake Worth,26.6196,-80.0591,Fla. ,FL
Bethanie,Mattek-Sands,Summer,F,Tennis,Doubles,none,"5'6""",145,3/23/85,Phoenix,33.5722,-112.0891,Ariz.,AZ
Rajeev ,Ram,Summer,M,Tennis,Doubles,none,"6'4""",185,3/18/84,Carmel,39.965,-86.146,Ind.,IN
Sloane,Stephens,Summer,F,Tennis,Singles,none,"5'8""",142,3/20/93,Fort Lauderdale,26.1412,-80.1464,Fla. ,FL
Coco ,Vandeweghe,Summer,F,Tennis,Doubles,none,"6'1""",155,12/6/91,Rancho Santa Fe,33.024,-117.1992,Calif.,CA
Venus,Williams,Summer,F,Tennis,"Singles, Doubles",2000-2G; 2004; 2008-G; 2012-G,"6'1""",160,6/17/80,Palm Beach Gardens,26.8466,-80.1679,Fla. ,FL
Serena,Williams,Summer,F,Tennis,"Singles, Doubles",2000-G; 2008-G; 2012-2G,"5'10""",160,9/26/81,Palm Beach Gardens,26.8466,-80.1679,Fla. ,FL
Brad,Adkins,Summer,M,Track and Field,High Jump,none,"6'2""",175,12/30/93,Idalou,33.6624,-101.6838,Texas,TX
Morolake,Akinosun,Summer,F,Track and Field,4x100m,none,"5'4""",135,5/17/94,Chicago,41.8373,-87.6862,Ill.,IL
Devon,Allen,Summer,M,Track and Field,110m Hurdles,none,"6'1""",185,12/12/94,Eugene,44.0563,-123.1173,Ore.,OR
Nia,Ali,Summer,F,Track and Field,100m Hurdles,none,"5'7""",143,10/23/88,Philadelphia,40.0077,-75.1339,Pa.,PA
Robby,Andrews,Summer,M,Track and Field,"1,500m",none,"5'10""",145,3/29/91,Manalapan,26.562,-80.0438,N.J.,NJ
Ronnie,Ash,Summer,M,Track and Field,110m Hurdles,none,"6'2""",208,7/2/88,Passaic,40.8574,-74.1282,N.J.,NJ
Whitney,Ashley,Summer,F,Track and Field,Discus Throw,none,"5'10""",200,2/18/89,Riverside,33.9381,-117.3948,Calif.,CA
Tavis,Bailey,Summer,M,Track and Field,Discus Throw,none,"6'3""",275,1/6/92,Kannapolis,35.4764,-80.6403,N.C. ,NC
Tianna,Bartoletta,Summer,F,Track and Field,"100m, Long Jump",2012-G,"5'6""",130,8/30/85,Tampa,27.9942,-82.4451,Fla. ,FL
Chris,Benard,Summer,M,Track and Field,Triple Jump,none,"6'3""",185,4/9/90,Corona,33.8616,-117.5649,Calif.,CA
Boris,Berian,Summer,M,Track and Field,800m ,none,"6'0""",153,12/19/92,Colorado Springs,38.8674,-104.7606,Colo.,CO
Gwen,Berry,Summer,F,Track and Field,Hammer Throw,none,"5'9""",195,6/29/89,St. Louis,38.6358,-90.2451,Mo. ,MO
Ben,Blankenship,Summer,M,Track and Field,"1,500m",none,"5'10""",140,12/15/88,Stillwater,36.1316,-97.074,Minn.,MN
Hillary,Bor,Summer,M,Track and Field,3000m Steeplechase,none,"5'6""",115,11/22/89,Colorado Springs,38.8674,-104.7606,Colo.,CO
Brittany,Borman,Summer,F,Track and Field,Javelin Throw,2012,"6'0""",170,7/1/89,Festus,38.2192,-90.4095,Mo. ,MO
Tori,Bowie,Summer,F,Track and Field,"100m, 200m",none,"5'9""",128,8/27/90,Sandhill,#N/A,#N/A,Miss.,MS
Marvin,Bracy,Summer,M,Track and Field,100m,none,"5'9""",171,12/15/93,Orlando,28.4772,-81.3369,Fla. ,FL
Trayvon,Bromell,Summer,M,Track and Field,100m,none,"5'9""",154,7/10/95,St. Petersburg,27.7931,-82.6652,Fla. ,FL
Donn,Cabral,Summer,M,Track and Field,3000m Steeplechase,2012,"5'10""",148,12/12/89,Glastonbury,41.7019,-72.6001,Conn. ,CT
Amber,Campbell,Summer,F,Track and Field,Hammer Throw,2008; 2012,"5'7""",200,6/5/81,Indianapolis,39.7771,-86.1458,Ind.,IN
Kelsey,Card,Summer,F,Track and Field,Discus Throw,none,"5'10""",255,8/20/92,Carlinville,39.2774,-89.8761,Ill.,IL
Michelle,Carter,Summer,F,Track and Field,Shot Put,2008; 2012,"5'9""",300,10/12/85,Ovilla,32.5352,-96.8895,Texas,TX
Kristi ,Castlin,Summer,F,Track and Field,100m Hurdles,none,"5'7""",133,7/7/88,Atlanta,33.1136,-94.1672,Ga.,GA
Matthew,Centrowitz,Summer,M,Track and Field,"1,500m",2012,"5'9""",145,10/18/89,Portland,45.5372,-122.65,Ore.,OR
Paul,Chelimo,Summer,M,Track and Field,"5,000m ",none,"5'9""",125,10/27/90,Beaverton,45.4779,-122.8168,Ore.,OR
Will,Claye,Summer,M,Track and Field,Triple Jump,"2012-S, B","5'11""",160,6/13/91,Phoenix,33.5722,-112.0891,Ariz.,AZ
Kerron,Clement,Summer,M,Track and Field,400m hurdles,"2008-G, S; 2012","6'2""",192,10/31/85,LaPorte,40.6385,-105.1444,Texas,TX
Kyle,Clemons,Summer,M,Track and Field,4x400m,none,"5'11""",163,12/27/90,Jonesboro,35.8212,-90.6791,Ark.,AR
Emma,Coburn,Summer,F,Track and Field,3000m Steeplechase,2012,"5'8""",120,10/19/90,Crested Butte,38.8675,-106.9772,Colo.,CO
Christian,Coleman,Summer,M,Track and Field,4x100m,none,"5'9""",159,3/6/96,Atlanta ,33.7627,-84.4224,Ga.,GA
Kim,Conley,Summer,F,Track and Field,5000m,2012,"5'3""",110,3/14/86,Sacramento,38.5667,-121.4683,Calif. ,CA
Ryan,Crouser,Summer,M,Track and Field,Shot put,none,"6'7""",275,12/18/92,Boring,#N/A,#N/A,Ore.,OR
Sam,Crouser,Summer,M,Track and Field,Javelin Throw,none,"6'6""",230,12/31/91,Gresham,45.5023,-122.4413,Ore.,OR
Logan,Cunningham,Summer,M,Track and Field,Pole Vault,none,"5'9""",160,5/30/91,Smithson Valley,#N/A,#N/A,Texas,TX
Vashti,Cunningham,Summer,F,Track and Field,High Jump,none,"6'1""",123,1/18/98,Las Vegas,36.2333,-115.2654,Nev. ,NV
Abbey,D'Agostino,Summer,F,Track and Field,5000m,none,5'3,110,5/25/92,Topsfield,#N/A,#N/A,Mass.,MA
Janay,Deloach ,Summer,F,Track and Field,Long Jump,2012-B,"5'5""",128,10/12/85,Fort Collins,40.5478,-105.0656,Colo.,CO
Ashton,Eaton,Summer,M,Track and Field,Decathlon,2012-G,"6'1""",180,1/21/88,Bend,44.0562,-121.3087,Ore. ,OR
Taylor,Ellis-Watson,Summer,F,Track and Field,4x400m,none,"6'0""",142,5/6/93,Philadelphia,40.0077,-75.1339,Pa.,PA
Christina,Epps,Summer,F,Track and Field,Triple Jump,none,"5'9""",145,6/20/91,Morristown,36.2046,-83.3006,N.J. ,NJ
Andrew,Evans,Summer,M,Track and Field,Discus Throw,none,"6'6""",250,1/25/91,Portage,42.2,-85.5906,Mich.,MI
Allyson,Felix,Summer,F,Track and Field,400m,"2004-S; 2008-G,S; 2012-3G","5'6""",125,11/18/85,Los Angeles,34.1139,-118.4068,Calif.,CA
Mason ,Finley,Summer,M,Track and Field,Discus Throw,none,"6'8""",348,10/7/90,Chaffee County,#N/A,#N/A,Colo. ,CO
Phyllis,Francis,Summer,F,Track and Field,400m,none,"5'11""",158,5/4/92,Bryan,30.6657,-96.3668,Texas,TX
Courtney,Frerichs,Summer,F,Track and Field,3000m Steeplechase,none,"5'7""",118,1/18/93,Nixa,37.0453,-93.296,Mo. ,MO
Sean,Furey,Summer,M,Track and Field ,Javelin Throw,2012 - 37,"6'2""",200,8/31/82,Methuen Town,42.734,-71.1889,Mass.,MA
English,Gardner,Summer,F,Track and Field,100m,none,"5'6""",120,4/22/92,Voorheesville,42.6518,-73.9349,N.J. ,NJ
Justin,Gatlin,Summer,M,Track and Field,"100m, 200m","2004-G,S,B; 2012-B,S","6'1""",177,2/10/82,Pensacola,30.4427,-87.1886,Fla. ,FL
Tyson,Gay,Summer,M,Track and Field,4x100m,2008; 2012-S,"5'11""",178,8/9/82,Lexington,38.0423,-84.4587,Ky.,KY
Andrea,Geubelle,Summer,F,Track and Field,Triple Jump,none,"5'4""",128,6/26/91,University Place,47.2147,-122.5461,Wash.,WA
Kate,Grace,Summer,F,Track and Field ,800m,none,"5'8""",122,10/24/88,Sacramento,38.5667,-121.4683,Calif.,CA
Arman,Hall,Summer,M,Track and Field,4x400m,none,"6'0""",165,2/12/94,Pembroke Pines,26.0128,-80.3382,Fla. ,FL
Marielle,Hall,Summer,F,Track and Field,"10,000m",none,5'3,112,1/28/92,Mount Laurel ,#N/A,#N/A,N.J. ,NJ
Mike,Hartfield,Summer,M,Track and Field,Long Jump,none,"6'3""",170,3/29/90,Manchester,42.9848,-71.4447,Conn.,CT
Natasha,Hastings,Summer,F,Track and Field,400m,2008-G,"5'8""",150,7/23/86,Queens,40.7498,-73.7976,N.Y. ,NY
Jeff,Henderson,Summer,M,Track and Field,Long Jump,none,"6'0""",189,2/19/89,McAlmont,34.7926,-92.1959,Ark.,AR
Darrell,Hill,Summer,M,Track and Field,Shot Put,none,"6'3""",320,8/17/93,Darby,39.921,-75.2611,Pa.,PA
Cyrus,Hostetler,Summer,M,Track and Field,Javelin Throw,2012,"6'2""",210,8/8/86,Newberg,45.3075,-122.9601,Ore.,OR
Shelby,Houlihan,Summer,F,Track and Field,5000m,none,"5'3""",118,2/8/93,Sioux City,42.4959,-96.3901,Iowa,IA
Molly,Huddle,Summer,F,Track and Field,"10,000m",2012,"5'5""",108,8/31/84,Elmira,42.0938,-76.8097,N.Y. ,NY
Emily,Infeld,Summer,F,Track and Field,"10,000m",none,5'4,110,3/21/90,Portland,45.5372,-122.65,Ore.,OR
Evan,Jager,Summer,M,Track and Field,"3,000m Steeplechase",2012,"6'2""",145,3/8/89,Algonquin,42.1629,-88.3159,Ill.,IL
Charles,Jock,Summer,M,Track and Field,800m,none,"6'3""",164,11/23/89,San Diego,27.7609,-98.2389,Calif.,CA
Felisha,Johnson,Summer,F,Track and Field,Shot Put,none,"6'1""",280,7/24/89,Indianapolis,39.7771,-86.1458,Ind.,IN
Kibwe,Johnson,Summer,M,Track and Field,Hammer Throw,2012-T-9th,"6'2""",225,7/17/81,San Francisco,37.7562,-122.443,Calif.,CA
Sam,Kendricks,Summer,M,Track and Field,Pole Vault,none,"6'1""",175,9/7/92,Oxford,34.3627,-89.5336,Miss.,MS
Shadrack,Kipchirchir,Summer,M,Track and Field,"10,000m",none,"5'8""",118,2/22/89,Beaverton,45.4779,-122.8168,Ore.,OR
Leonard,Korir,Summer,M,Track and Field,"10,000m ",none,"5'7""",130,12/10/86,Colorado Springs,38.8674,-104.7606,Colo.,CO
Joe,Kovacs,Summer,M,Track and Field,Shot Put,none,"6'0""",295,6/28/89,Nazareth,40.74,-75.3132,Pa.,PA
Erik,Kynard,Summer,M,Track and Field,High Jump,2012-S,"6'4""",198,2/3/91,Toledo,41.6639,-83.5822,Ohio,OH
Bernard,Lagat,Summer,M,Track and Field,"5,000m",2000-B; 2004-S; 2008; 2012,"5'8""",130,12/12/74,Tucson,32.1545,-110.8782,Ariz.,AZ
Jarrion,Lawson,Summer,M,Track and Field,Long Jump,none,"6'2""",172,5/6/94,Texarkana,33.4487,-94.0815,Texas,TX
Chaunte,Lowe,Summer,F,Track and Field,High Jump,2004; 2008; 2012,"5'9""",132,1/12/84,Riverside,33.9381,-117.3948,Calif.,CA
Maggie,Malone,Summer,F,Track and Field,Javelin Throw,none,"5'8""",170,12/30/93,Geneva,42.8644,-76.9827,Neb.,NE
Brenda,Martinez,Summer,F,Track and Field,1500m,none,"5'7""",124,9/8/87,Big Bear Lake,34.2429,-116.8951,Calif.,CA
Conor,McCullough,Summer,M,Track and Field,Hammer Throw,none,"6'5""",235,1/31/91,Los Angeles,34.1139,-118.4068,Calif.,CA
Francena,McCorory,Summer,F,Track and Field,4x400m,2012-G,"5'7""",151,10/20/88,Hampton,37.0551,-76.363,Va.,VA
Inika,McPherson,Summer,F,Track and Field,High Jump,none,"5'5""",114,9/29/86,Port Arthur,29.8554,-93.9264,Texas ,TX
Sydney ,McLaughlin,Summer,F,Track and Field,400m Hurdles,none,"5'9""",132,8/7/99,Dunellen,40.5903,-74.4656,N.J. ,NJ
Tony,McQuay,Summer,M,Track and Field,4x400m,2012-S,"5'11""",160,4/16/90,Clermont,28.5402,-81.7259,Fla. ,FL
Hassan,Mead,Summer,M,Track and Field,"5,000m",none,"6'2""",145,6/28/91,Eugene,44.0563,-123.1173,Ore.,OR
LaShawn,Merritt,Summer,M,Track and Field,"200m, 400m, 4x400m",2008-2G; 2012,"6'3""",190,6/27/86,Portsmouth,36.8468,-76.354,Va.,VA
Heather,Miller-Koch,Summer,F,Track and Field,Heptathlon,none,"5'9""",140,3/30/87,Columbus,39.9862,-82.985,Wis.,WI
Sandi,Morris,Summer,F,Track and Field,Pole Vault,none,"5'8""",137,7/8/92,Greenville,34.8353,-82.3647,S.C. ,SC
Dalilah,Muhammad,Summer,F,Track and Field,400m Hurdles,none,"5'8""",122,2/7/90,Jamaica,41.8452,-94.307,N.Y. ,NY
Clayton,Murphy,Summer,M,Track and Field,800m,none,"5'11""",150,2/26/95,Akron,41.0798,-81.5219,Ohio,OH
Barbara,Nwaba,Summer,F,Track and Field,Heptathlon,none,"5'9""",146,1/18/89,Los Angeles,34.1139,-118.4068,Calf.,CA
Courtney,Okolo,Summer,F,Track and Field,4x400m,none,"5'8""",130,3/15/94,Carrollton,32.989,-96.8999,Texas,TX
Keturah,Orji,Summer,F,Track and Field,Triple Jump,none,"5'5""",135,3/5/96,Mount Olive,35.1997,-78.0662,N.J. ,NJ
Jeff,Porter,Summer,M,Track and Field,110m Hurdles,2012,"6'0""",190,11/27/85,Somerset,37.0815,-84.6091,N.J. ,NJ
Jenna,Prandini,Summer,F,Track and Field,200m ,none,"5'8""",132,11/20/92,Clovis,36.8278,-119.6831,Calif.,CA
DeAnna,Price,Summer,F,Track and Field,Hammer Throw,none,5'8,220,6/8/93,Old Monroe,38.9387,-90.7468,Mo. ,MO
Colleen ,Quigley,Summer,F,Track and Field,3000m Steeplechase,none,"5'9""",135,11/20/92,St. Louis,38.6358,-90.2451,Mo. ,MO
Brittney,Reese,Summer,F,Track and Field,Long Jump,2008; 2012-G,"5'8""",136,9/9/86,Gulfport,30.4271,-89.0703,Miss.,MS
Gil,Roberts,Summer,M,Track and Field,400m,none,"6'2""",180,3/15/89,Oklahoma City,35.4676,-97.5136,Okla. ,OK
Ricky,Robertson,Summer,M,Track and Field,High Jump,none,"5'11""",165,9/19/90,Hernando,34.85,-89.9922,Miss.,MS
Byron,Robinson,Summer,M,Track and Field,400m Hurdles,none,"5'9""",165,5/10/95,Chesapeake,36.6778,-76.3024,Va. ,VA
Michael,Rodgers,Summer,M,Track and Field,4x100m,none,"5'9""",178,4/24/85,Florissant,38.7996,-90.3269,Mo. ,MO
Brianna,Rollins,Summer,F,Track and Field,100m Hurdles,none,"5'5""",130,8/18/91,Miami,25.7839,-80.2102,Fla.,FL
Shannon,Rowbury,Summer,F,Track and Field,"1,500m",2008;2012,"5'5""",115,9/19/84,San Francisco,37.7562,-122.443,Calif.,CA
Raven,Saunders,Summer,F,Track and Field ,Shot Put,none,"5'5""",240,5/15/96,Charleston,32.8153,-79.9628,S.C. ,SC
Cale,Simmons,Summer,M,Track and Field,Pole Vault,none,"6'0""",145,2/5/91,Rocklin,38.8075,-121.2488,Calif.,CA
Jenny,Simpson,Summer,F,Track and Field,"1,500m",2008; 2012,"5'5""",118,8/23/86,Boulder,46.2358,-112.1198,Colo.,CO
Ashley,Spencer,Summer,F,Track and Field,400m Hurdles,none,"5'10""",130,6/8/93,Indianapolis,39.7771,-86.1458,Ind.,IN
Deajah,Stevens,Summer,F,Track and Field,200m ,none,"5'9""",142,5/19/95,Bayside,43.1827,-87.9017,N.Y.,NY
Jenn,Suhr,Summer,F,Track and Field,Pole Vault,2008-S; 2012-G,"6'0""",145,2/5/82,Fredonia,42.4407,-79.3319,N.Y. ,NY
Jeremy,Taiwo,Summer,M,Track and Field,Decathlon,none,"6'4""",200,1/15/90,Renton,47.4784,-122.1919,Wash.,WA
Christian,Taylor,Summer,M,Track and Field,Triple Jump,2012-G,"6'2""",180,6/18/90,Fayetteville,36.0713,-94.166,Ga.,GA
Michael,Tinsley,Summer,M,Track and Field,400m hurdles,2012-S,"6'1""",165,4/21/84,Little Rock,34.7256,-92.3576,Ark.,AR
Shelbi,Vaughan,Summer,F,Track and Field,Discus Throw,none,"6'0""",280,8/24/94,Weatherford,32.7536,-97.7723,Texas,TX
David,Verburg,Summer,M,Track and Field,400m,none,"5'8""",155,5/14/91,Lynchburg,37.4003,-79.1909,Va.,VA
Ariana,Washington,Summer,F,Track and Field,4x100m,none,"5'9""",135,8/27/96,Long Beach,33.7981,-118.1675,Calif.,CA
Ameer,Webb,Summer,M,Track and Field,200m,none,"5'11""",180,3/19/91,Harbor City,#N/A,#N/A,Calif. ,CA
Alexis,Weeks,Summer,F,Track and Field,Pole Vault,none,"5'6""",130,11/20/96,Cabot,34.9768,-92.0274,Ark. ,AR
Chrishuna,Williams,Summer,F,Track and Field,800m,none,"5'3""",120,3/31/93,Dallas,32.7936,-96.7662,Texas,TX
Kendell,Williams,Summer,F,Track and Field,Heptathlon,none,"5'10""",148,6/14/95,Kennesaw,34.026,-84.6177,Ga.,GA
Ajeé,Wilson,Summer,F,Track and Field,800m,none,"5'8""",135,5/8/94,Philadelphia,40.0077,-75.1339,Pa.,PA
Kara,Winger,Summer,F,Track and Field,Javelin Throw,2008-15th; 2012-22nd,"6'0""",185,4/10/86,Vancouver,45.6366,-122.5967,Wash.,WA
Rudy ,Winkler,Summer,M,Track and Field ,Hammer Throw,none,"6'2""",240,12/6/94,Ithaca,42.4442,-76.5032,N.Y. ,NY
Zach,Ziemek,Summer,M,Track and Field,Decathlon,none,"6'4""",195,2/23/93,Itasca,41.9773,-88.0182,Ill.,IL
Meb,Keflezighi,Summer,M,Track and Field,Marathon,2000; 2004-S; 2012,"5'5""",125,5/5/75,San Diego,27.7609,-98.2389,Calif. ,CA
John,Nunn,Summer,M,Track and Field,50K Race Walk,2004; 2012,"6'2""",172,2/3/78,Evansville,37.9881,-87.5341,Ind. ,IN
Miranda,Melville,Summer,F,Track and Field,20K Race Walk,none,"5'2""",110,3/20/89,Rochester,43.168,-77.6162,N.Y. ,NY
Maria,Michta-Coffey,Summer,F,Track and Field,20K Race Walk,2012,"5'5""",110,6/23/86,Nesconset,40.8467,-73.1522,N.Y. ,NY
Galen,Rupp,Summer,M,Track and Field,"Marathon, 10,000m ",2008; 2012-S,"5'11""",135,5/8/86,Portland,45.5372,-122.65,Ore.,OR
Jared,Ward,Summer,M,Track and Field,Marathon,None,"5'10""",145,9/9/88,Kaysville,41.029,-111.9456,Utah,UT
Amy,Cragg,Summer,F,Track and Field,Marathon,2012,"5'4""",100,1/21/84,Leavenworth,39.3239,-94.924,Kan.,KS
Shalane,Flanagan,Summer,F,Track and Field,Marathon,2004; 2008-B; 2012,"5'5""",105,7/8/81,Marblehead,41.5223,-82.7279,Mass.,MA
Desiree,Linden,Summer,F,Track and Field,Marathon,2012,"5'1""",96,7/26/83,Chula Vista,32.6281,-117.0145,Calif. ,CA
Greg,Billington,Summer,M,Triathlon,Men's,none,"5'9""",145,5/30/89,Spokane,47.6671,-117.433,Wash.,WA
Ben,Kanute,Summer,M,Triathlon,Men's,none,"6'0""",155,12/14/92,Geneva,42.8644,-76.9827,Ill.,IL
Joe,Maloy,Summer,M,Triathlon,Men's,none,"5'9""",142,12/20/85,Wildwood Crest,38.9718,-74.8376,N.J.,NJ
Gwen,Jorgensen,Summer,F,Triathlon,Women's,2012,"5'10""",130,4/25/86,St. Paul,44.9477,-93.104,Minn.,MN
Sarah,True,Summer,F,Triathlon,Women's,2012,"5'8""",138,11/27/81,Hanover,39.8117,-76.9835,N.H.,NH
Katie,Zaferes,Summer,F,Triathlon,Women's,none,"5'8""",130,6/9/89,Hampstead,39.6104,-76.855,Md.,MD
Matt,Anderson,Summer,M,Indoor Volleyball,Outside Hitter,2012,"6'9""",190,4/18/87,West Seneca,#N/A,#N/A,N.Y.,NY
Micah,Christenson,Summer,M,Indoor Volleyball,Setter,none,"6'6""",190,5/8/93,Honolulu,21.3294,-157.846,Hawaii,HI
Max ,Holt,Summer,M,Indoor Volleyball,Middle Blocker,none,"6'10""",198,3/12/87,Cincinnati,39.1413,-84.5061,Ohio,OH
Thomas,Jaeschke,Summer,M,Indoor Volleyball,Outside Hitter,none,6-6,200,9/4/93,Wheaton,41.8561,-88.1083,Ill.,IL
David,Lee,Summer,M,Indoor Volleyball,Middle Blocker,2008-G; 2012,"6'8""",231,3/8/82,Alpine,32.8439,-116.7585,Calif.,CA
Reid,Priddy,Summer,M,Indoor Volleyball,Outside Hitter,2004; 2008-G; 2012,"6'4""",196,10/1/77,Richmond,37.5295,-77.4756,Va.,VA
Aaron,Russell,Summer,M,Indoor Volleyball,Outside Hitter,none,6-9,205,6/4/93,Ellicott City,39.2773,-76.8344,Md.,MD
Taylor,Sander,Summer,M,Indoor Volleyball,Outside Hitter,none,6-4,190,3/17/92,Corona,33.8616,-117.5649,Calif.,CA
Kawika,Shoji,Summer,M,Indoor Volleyball,Setter,none,"6'3""",194,11/11/87,Honolulu,21.3294,-157.846,Hawaii,HI
Erik,Shoji,Summer,M,Indoor Volleyball,Libero,none,"6'0""",160,8/24/89,Honolulu,21.3294,-157.846,Hawaii,HI
David,Smith,Summer,M,Indoor Volleyball,"Indoor, MB",2012,"6'7""",200,5/15/85,Saugus,#N/A,#N/A,Calif.,CA
Murphy,Troy,Summer,M,Indoor Volleyball,Outside Hitter,none,"6'8""",235,5/31/89,St. Louis,38.6358,-90.2451,Mo.,MO
Rachael,Adams,Summer,F,Indoor Volleyball,Middle Blocker,none,"6'2""",178,6/3/90,Cincinnati,39.1413,-84.5061,Ohio,OH
Foluke,Akinradewo,Summer,F,Indoor Volleyball,Middle Blocker,2012-S,6-3,170,10/5/87,Fort Lauderdale,26.1412,-80.1464,Fla.,FL
Kayla,Banwarth,Summer,F,Indoor Volleyball,Libero,none,"5'10""",155,1/21/89,Dubuque,42.5008,-90.7067,Iowa,IA
Christa,Dietzen,Summer,F,Indoor Volleyball,Middle Blocker,2012-S,"6'2""",174,10/12/86,Hopewell,37.2915,-77.2985,Pa.,PA
Alisha,Glass,Summer,F,Indoor Volleyball,Setter,none,"6'0""",158,4/5/88,Leland,34.2044,-78.0277,Mich.,MI
Kim,Hill,Summer,F,Indoor Volleyball,Outside Hitter,none,"6'4""",159,11/30/89,Portland,45.5372,-122.65,Ore.,OR
Jordan,Larson,Summer,F,Indoor Volleyball,Outside Hitter,2012-S,"6'2""",150,10/16/86,Hooper,41.1599,-112.2871,Neb.,NE
Carli,Lloyd,Summer,F,Indoor Volleyball,Setter,none,"5'11""",165,8/6/89,Bonsall,33.2761,-117.1942,Calif.,CA
Karsta,Lowe,Summer,F,Indoor Volleyball,Opposite,none,"6'4""",180,2/2/93,San Diego,27.7609,-98.2389,Calif.,CA
Kelly,Murphy,Summer,F,Indoor Volleyball,Opposite,none,"6'2""",170,10/20/89,Wilmington,34.21,-77.8866,Ill.,IL
Kelsey,Robinson,Summer,F,Indoor Volleyball,Outside Hitter,none,"6'2""",155,6/25/92,Bartlett,35.2337,-89.8195,Ill.,IL
Courtney,Thompson,Summer,F,Indoor Volleyball,Setter,2012-S,"5'8""",145,11/4/84,Kent,47.3887,-122.2129,Wash.,WA
Phil,Dalhausser,Summer,M,Beach Volleyball,Beach,2008-G; 2012,"6'9""",205,1/26/80,Ormond Beach,29.296,-81.1003,Fla.,FL
Jake,Gibb,Summer,M,Beach Volleyball,Beach,2008; 2012,"6'7""",210,2/6/76,Bountiful,40.8722,-111.8647,Utah,UT
